AnimalId,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A671945,Hambone,12/02/2014 18:22,Return_to_owner,,Dog,Neutered Male,1 year,Shetland Sheepdog Mix,Brown/White
A656520,Emily,13/10/2013 12:44,Euthanasia,Suffering,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby
A686464,Pearce,31/01/2015 12:28,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A683430,,11/07/2014 19:09,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Cream
A667013,,15/11/2013 12:52,Transfer,Partner,Dog,Neutered Male,2 years,Lhasa Apso/Miniature Poodle,Tan
A677334,Elsa,25/04/2014 13:04,Transfer,Partner,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Black/Tan
A699218,Jimmy,28/03/2015 13:11,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
A701489,,30/04/2015 17:02,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
A671784,Lucy,04/02/2014 17:17,Adoption,,Dog,Spayed Female,5 months,American Pit Bull Terrier Mix,Red/White
A677747,,03/05/2014 07:48,Adoption,Offsite,Dog,Spayed Female,1 year,Cairn Terrier,White
A668402,,05/12/2013 15:50,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black
A666320,,04/11/2013 14:48,Adoption,,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Silver
A684601,Rocket,03/02/2016 11:27,Adoption,Foster,Dog,Neutered Male,4 years,Pit Bull Mix,Brown
A704702,Scooter,08/06/2015 16:30,Return_to_owner,,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Black/Red
A688584,Preston,25/11/2015 15:00,Return_to_owner,,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Cream
A678825,Oliver,12/07/2014 12:10,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A678050,,03/05/2014 16:15,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A680028,,07/06/2014 12:54,Transfer,Partner,Dog,Intact Female,2 weeks,Pit Bull Mix,Brown/White
A679010,Chrissy,17/05/2014 11:32,Transfer,Partner,Cat,Intact Female,2 years,Angora Mix,White
A684787,Kuma,30/07/2014 17:34,Return_to_owner,,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black
A670658,Anders,19/01/2014 15:03,Transfer,Partner,Dog,Intact Male,2 months,Queensland Heeler Mix,Black/White
A708812,Munchkin,18/09/2015 15:19,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White
A705262,Jamaica,15/08/2015 14:22,Adoption,,Dog,Spayed Female,2 years,Plott Hound/Boxer,Brown Brindle/White
A665781,Quattro,28/10/2013 16:32,Adoption,,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/White
A676333,Trigger,09/04/2014 17:44,Return_to_owner,,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown
A712750,Olive,03/10/2015 15:44,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby
